author_name,last_name,first_name,title,birthdate,deathdate,,count,eebo_total,estc_total,open-syllabus_total,ota_total,project-gutenberg_total
"Taylor, Thomas, 1738-1816.",Taylor,Thomas,, 1738-1816.,,,1,,,,0.000362188,
"Tennyson, Alfred Tennyson, Baron, 1809-1892",Tennyson,Alfred Tennyson,, Baron, 1809-1892,,1,,,,0.000362188,
"Thacher, Oxenbridge, 1719-1765",Thacher,Oxenbridge,, 1719-1765,,,1,,,,0.000362188,
"Thelwall, John, 1764-1834.",Thelwall,John,, 1764-1834.,,,1,,,,0.000362188,
"Theobald, Mr. (Lewis), 1688-1744.",Theobald,Mr. (Lewis),, 1688-1744.,,,1,,,,0.000362188,
"Thomas, Rowley.",Thomas,Rowley.,,,,,1,,,,0.000362188,
"Thompson, John-Weeks.",Thompson,John-Weeks.,,,,,1,,,,0.000362188,
"Thomson, Alexander, M.D.",Thomson,Alexander,, M.D.,,,1,,,,0.000362188,
"Thomson, James, fl. 1719-1762.",Thomson,James,, fl. 1719-1762.,,,1,,,,0.000362188,
"Threlfal, William.",Threlfal,William.,,,,,1,,,,0.000362188,
"Tickell, Mr. (Thomas), 1686-1740.",Tickell,Mr. (Thomas),, 1686-1740.,,,1,,,,0.000362188,
"Tissot, S. A. D. (Samuel Auguste David), 1728-1797.",Tissot,S. A. D. (Samuel Auguste David),, 1728-1797.,,,1,,,,0.000362188,
"Told, Silas, 1711-1779.",Told,Silas,, 1711-1779.,,,1,,,,0.000362188,
"Trinder, William Martin.",Trinder,William Martin.,,,,,1,,,,0.000362188,
"Turgot, Anne-Robert-Jacques, baron de l'Aulne, 1727-1781",Turgot,Anne-Robert-Jacques,, baron de l'Aulne, 1727-1781,,1,,,,0.000362188,
"Turner, Daniel, 1667-1741.",Turner,Daniel,, 1667-1741.,,,1,,,,0.000362188,
"Turner, Matthew, d. ca. 1788.",Turner,Matthew,, d. ca. 1788.,,,1,,,,0.000362188,
"Vanderlint, Jacob",Vanderlint,Jacob,,,,,1,,,,0.000362188,
"Vaughan, Rice",Vaughan,Rice,,,,,1,,,,0.000362188,
"Vaughan, Thomas, b. 1689 or 1790.",Vaughan,Thomas,, b. 1689 or 1790.,,,1,,,,0.000362188,
"von Aue, Hartmann, 12th cent.",von Aue,Hartmann,, 12th cent.,,,1,,,,0.000362188,
"von Eschenbach, Wolfram, 12th cent.",von Eschenbach,Wolfram,, 12th cent.,,,1,,,,0.000362188,
"Wakefield, Gilbert, 1756-1801.",Wakefield,Gilbert,, 1756-1801.,,,1,,,,0.000362188,
"Wall, J.",Wall,J.,,,,,1,,,,0.000362188,
"Warren, Martin, 1696-1735.",Warren,Martin,, 1696-1735.,,,1,,,,0.000362188,
"Watts, Stephen, 1741-1788.",Watts,Stephen,, 1741-1788.,,,1,,,,0.000362188,
"Webb, William, mate of the Doddington East Indiaman.",Webb,William,, mate of the Doddington East Indiaman.,,,1,,,,0.000362188,
"Webster, John, 1580?-1625",Webster,John,, 1580?-1625,,,1,,,,0.000362188,
Well-wisher to the publick.,Well-wisher to the publick.,,,,,,1,,,,0.000362188,
"Wesley, John, 1703-1791.",Wesley,John,, 1703-1791.,,,1,,,,0.000362188,
"West, Richard, Son of the Lord Chancellor of Ireland.",West,Richard,, Son of the Lord Chancellor of Ireland.,,,1,,,,0.000362188,
"Westcott, Edward Noyes, 1847-1898",Westcott,Edward Noyes,, 1847-1898,,,1,,,,0.000362188,
"White, John, 1757 or 8-1832.",White,John,, 1757 or 8-1832.,,,1,,,,0.000362188,
"Whitehead, William, of Newcastle.",Whitehead,William,, of Newcastle.,,,1,,,,0.000362188,
"Wigstead, Henry.",Wigstead,Henry.,,,,,1,,,,0.000362188,
"Wilson, James, 1742-1798",Wilson,James,, 1742-1798,,,1,,,,0.000362188,
"Wilson, Thomas, 1525?-1581",Wilson,Thomas,, 1525?-1581,,,1,,,,0.000362188,
"Winchilsea, Anne Kingsmill Finch, Countess of, 1661-1720.",Winchilsea,Anne Kingsmill Finch,, Countess of, 1661-1720.,,1,,,,0.000362188,
"Wintringham, Clifton, 1689-1748.",Wintringham,Clifton,, 1689-1748.,,,1,,,,0.000362188,
"Wollstonecraft, Mary, 1759-1797.",Wollstonecraft,Mary,, 1759-1797.,,,1,,,,0.000362188,
"Woodville, William, 1752-1805.",Woodville,William,, 1752-1805.,,,1,,,,0.000362188,
"Wright, J. (John), fl. 1761-1765.",Wright,J. (John),, fl. 1761-1765.,,,1,,,,0.000362188,
"Wright, Mrs.,",Wright,Mrs.,,,,,1,,,,0.000362188,
"Wycherley, William, 1640-1716",Wycherley,William,, 1640-1716,,,1,,,,0.000362188,
"Yeats, W.B. (William Butler), 1865-1939",Yeats,W.B. (William Butler),, 1865-1939,,,1,,,,0.000362188,
